SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,AODV,7.5
1,0,0,10,AODV,7.5
2,0,0,10,AODV,7.5
3,0,0,10,AODV,7.5
4,0,0,10,AODV,7.5
5,0,0,10,AODV,7.5
6,0,0,10,AODV,7.5
7,0,0,10,AODV,7.5
8,0,0,10,AODV,7.5
9,0,0,10,AODV,7.5
10,0,0,10,AODV,7.5
11,0,0,10,AODV,7.5
12,0,0,10,AODV,7.5
13,0,0,10,AODV,7.5
14,0,0,10,AODV,7.5
15,1.024,2,10,AODV,7.5
16,0.512,1,10,AODV,7.5
17,0.512,1,10,AODV,7.5
18,1.536,3,10,AODV,7.5
19,0.512,1,10,AODV,7.5
20,1.024,2,10,AODV,7.5
21,1.024,2,10,AODV,7.5
22,0.512,1,10,AODV,7.5
23,1.024,2,10,AODV,7.5
24,0.512,1,10,AODV,7.5
25,0.512,1,10,AODV,7.5
26,0.512,1,10,AODV,7.5
27,1.024,2,10,AODV,7.5
28,1.536,3,10,AODV,7.5
29,3.072,6,10,AODV,7.5
30,2.56,5,10,AODV,7.5
31,2.56,5,10,AODV,7.5
32,3.072,6,10,AODV,7.5
33,3.072,6,10,AODV,7.5
34,2.048,4,10,AODV,7.5
35,2.56,5,10,AODV,7.5
36,3.072,6,10,AODV,7.5
37,4.608,9,10,AODV,7.5
38,4.096,8,10,AODV,7.5
39,4.096,8,10,AODV,7.5
40,3.584,7,10,AODV,7.5
41,4.096,8,10,AODV,7.5
42,4.096,8,10,AODV,7.5
43,3.584,7,10,AODV,7.5
44,5.632,11,10,AODV,7.5
45,6.144,12,10,AODV,7.5
46,7.68,15,10,AODV,7.5
47,5.632,11,10,AODV,7.5
48,5.12,10,10,AODV,7.5
49,6.144,12,10,AODV,7.5
50,5.632,11,10,AODV,7.5
51,4.608,9,10,AODV,7.5
52,6.656,13,10,AODV,7.5
53,5.632,11,10,AODV,7.5
54,4.608,9,10,AODV,7.5
55,4.096,8,10,AODV,7.5
56,4.608,9,10,AODV,7.5
57,6.144,12,10,AODV,7.5
58,7.68,15,10,AODV,7.5
59,7.168,14,10,AODV,7.5
60,6.144,12,10,AODV,7.5
61,6.656,13,10,AODV,7.5
62,6.144,12,10,AODV,7.5
63,7.68,15,10,AODV,7.5
64,6.144,12,10,AODV,7.5
65,5.12,10,10,AODV,7.5
66,5.12,10,10,AODV,7.5
67,6.144,12,10,AODV,7.5
68,4.096,8,10,AODV,7.5
69,5.12,10,10,AODV,7.5
70,7.168,14,10,AODV,7.5
71,7.68,15,10,AODV,7.5
72,6.144,12,10,AODV,7.5
73,10.24,20,10,AODV,7.5
74,7.68,15,10,AODV,7.5
75,7.168,14,10,AODV,7.5
76,11.264,22,10,AODV,7.5
77,7.168,14,10,AODV,7.5
78,8.704,17,10,AODV,7.5
79,6.144,12,10,AODV,7.5
80,13.824,27,10,AODV,7.5
81,8.704,17,10,AODV,7.5
82,7.68,15,10,AODV,7.5
83,6.144,12,10,AODV,7.5
84,7.68,15,10,AODV,7.5
85,3.072,6,10,AODV,7.5
86,8.192,16,10,AODV,7.5
87,8.704,17,10,AODV,7.5
88,9.216,18,10,AODV,7.5
89,12.288,24,10,AODV,7.5
90,11.264,22,10,AODV,7.5
91,10.752,21,10,AODV,7.5
92,9.216,18,10,AODV,7.5
93,9.216,18,10,AODV,7.5
94,10.24,20,10,AODV,7.5
95,8.704,17,10,AODV,7.5
96,8.704,17,10,AODV,7.5
97,8.704,17,10,AODV,7.5
98,8.704,17,10,AODV,7.5
99,10.24,20,10,AODV,7.5
100,7.168,14,10,AODV,7.5
101,9.728,19,10,AODV,7.5
102,9.728,19,10,AODV,7.5
103,9.216,18,10,AODV,7.5
104,7.68,15,10,AODV,7.5
105,8.704,17,10,AODV,7.5
106,9.216,18,10,AODV,7.5
107,6.656,13,10,AODV,7.5
108,10.752,21,10,AODV,7.5
109,8.704,17,10,AODV,7.5
110,9.216,18,10,AODV,7.5
111,10.24,20,10,AODV,7.5
112,8.704,17,10,AODV,7.5
113,10.752,21,10,AODV,7.5
114,8.704,17,10,AODV,7.5
115,9.216,18,10,AODV,7.5
116,8.704,17,10,AODV,7.5
117,8.192,16,10,AODV,7.5
118,7.68,15,10,AODV,7.5
119,8.704,17,10,AODV,7.5
